,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
77,PM3504813,2572_0036,"Jemal's Citadel, LLC",2017,Data Under Review by DOEE,1641 - 1681 KALORAMA RD NW,JEMAL'S CITADEL LLC,1.0,WASHINGTON,DC,20009.0,1940,Supermarket-Grocery Store,Mixed Use Property,116690.0,94433.0,100,25.3,26.0,79.6,81.6,265.5,2.8,1957.0,701362.9,,38.92198694,-77.03844187
476,PM4317950,0026_0011,280111 - 2401 Penn Ave.,2017,In Compliance,2401 PENNSYLVANIA AVE NW,2401 PENN AVENUE LLC,2.0,WASHINGTON,DC,20037.0,1991,Mixed Use Property,Mixed Use Property,221853.0,145060.0,79,50.6,50.6,149.2,149.2,775.2,5.3,11516.7,1954375.2,6687.575220000001,38.90346905,-77.0519089
666,PM4219806,0398_0836,City Market at O Street,2017,In Compliance,1400 7TH ST NW,CITYMARKET AT O EAST AND WEST LLC,6.0,WASHINGTON,DC,20001.0,2013,Multifamily Housing,Mixed Use Property,56090.0,422493.0,30,70.8,73.1,176.7,179.1,2785.3,6.6,10527.2,6062991.8,92346.30464,38.90877072,-77.02212531
925,PM2681078,0720_0826,Station Place III,2017,In Compliance,700 2ND ST NE,SEVEN HUNDRED SECOND STREET HOLDINGS LLC,6.0,WASHINGTON,DC,20002.0,2009,Office,Mixed Use Property,755499.0,554328.0,69,81.3,82.3,255.2,258.3,4998.4,9.0,11860.7,13205933.3,,38.8992675,-77.00379122
1014,PM4798771,2905_0814,Safeway 2808 - Georgia Ave,2017,In Compliance,3830 GEORGIA AVE NW,NAI SATURN EASTERN LLC,4.0,WASHINGTON,DC,20011.0,2014,Supermarket-Grocery Store,Mixed Use Property,60622.0,64033.0,82,212.3,214.3,552.8,551.9,1306.3,20.4,4264.0,2962658.6,34828.39858,38.93851818,-77.02482887
1752,PM2681078,0720_0826,Station Place III,2016,In Compliance,700 2ND ST NE,SEVEN HUNDRED SECOND STREET HOLDINGS LLC,6.0,WASHINGTON,DC,20002.0,2009,Office,Mixed Use Property,755499.0,554328.0,71,81.0,81.0,254.2,254.4,5146.0,9.3,11056.1,13151588.9,,38.8992675,-77.00379122
2558,PM2681078,0720_0826,Station Place III,2015,In Compliance,700 2ND ST NE,SEVEN HUNDRED SECOND STREET HOLDINGS LLC,6.0,Washington,DC,20002.0,2009,Office,Mixed Use Property,755499.0,554328.0,69,83.2,83.4,261.1,261.9,6170.9,11.1,10548.1,13510368.0,,38.8992675,-77.00379122
2605,PM1448823,1786_0821,4200 Wisconsin Ave,2015,In Compliance,4200 WISCONSIN AVE NW,AMERICAN UNIVERSITY,3.0,Washington,DC,20016.0,1963,Office,Mixed Use Property,216397.0,144030.0,73,107.3,107.6,320.6,320.9,1978.1,13.7,5387.0,4199062.6,11329.99932,38.94357199,-77.07780599
3279,PM2681078,0720_0826,Station Place III,2014,In Compliance,700 2ND ST,SEVEN HUNDRED 2ND STREET HOLDINGS LLC,6.0,WASHINGTON,DC,20002.0,2009,Office,Mixed Use Property,755499.0,554328.0,67,83.9,83.2,263.4,261.2,6224.7,11.2,10464.4,13628292.4,,38.89951896,-77.00398261
3325,PM1448823,1786_0821,4200 Wisconsin Ave,2014,In Compliance,4200 WISCONSIN AV NW,AMERICAN UNIVERSITY,3.0,WASHINGTON,DC,20016.0,1963,Office,Mixed Use Property,216397.0,144030.0,75,107.7,107.7,320.4,320.4,2000.0,13.9,4488.3,4187708.7,9577.9995,38.94349618,-77.07809747
